next_purchase_after_30d,Transaction_Value,Coupon_Status,Gender,Tenure_Months,Delivery_Charges
1,45.54,Used,F,27,26.43
0,3.95,Used,F,27,19.99
0,17.59,Used,F,27,6.0
0,3.99,Used,F,27,6.0
0,41.81,Used,F,27,6.5
0,13.29,Used,F,27,6.0
0,119.0,Used,F,27,6.0
0,119.0,Used,F,27,6.0
0,238.0,Used,F,27,6.0
0,149.0,Used,F,27,6.0
0,23.94,Unused,F,27,26.43
0,786.5,Unused,F,27,30.59
0,31.96,Unused,F,27,6.0
0,65.31,Unused,F,27,6.5
0,20.19,Unused,F,27,19.99
0,15.99,Unused,F,27,6.0
0,476.0,Unused,F,27,6.0
0,238.0,Unused,F,27,6.0
0,10.63,Unused,F,27,6.0
0,13.59,Unused,F,27,6.0
0,237.0,Unused,F,27,6.0
0,15.39,Unused,F,27,6.0
0,98.0,Unused,F,27,30.59
0,63.99,Unused,F,27,6.0
0,11.19,Unused,F,27,6.5
0,10.63,Unused,F,27,6.0
0,298.0,Unused,F,27,6.0
0,237.0,Unused,F,27,6.0
1,4.99,Used,F,27,6.0
0,15.99,Used,F,27,6.5
0,349.0,Used,F,27,12.99
0,15.19,Used,F,27,6.5
0,149.0,Used,F,27,6.5
0,544.0,Used,F,27,6.5
0,237.0,Used,F,27,6.5
0,111.98,Unused,F,27,24.49
0,35.18,Unused,F,27,6.5
0,24.78,Unused,F,27,6.5
0,1992.0,Unused,F,27,6.5
0,199.0,Unused,F,27,6.5
0,99.99,Unused,F,27,6.0
0,15.99,Unused,F,27,6.5
0,99.0,Unused,F,27,6.5
0,178.0,Unused,F,27,6.5
0,8.98,Unused,F,27,6.0
0,124.77,Unused,F,27,19.02
0,558.0,Unused,F,27,6.5
0,119.0,Unused,F,27,12.99
0,119.0,Unused,F,27,12.99
0,149.0,Unused,F,27,6.5
0,395.0,Unused,F,27,6.5
0,99.0,Unused,F,27,6.5
0,238.0,Unused,F,27,6.5
0,16.99,Unused,F,27,6.5
0,349.0,Unused,F,27,6.5
0,298.0,Unused,F,27,6.5
1,52.4,Used,M,44,6.0
0,41.47,Used,M,44,6.0
0,89.15,Used,M,44,34.94
0,50.0,Used,M,44,0.0
0,4.8,Used,M,44,6.0
0,15.39,Used,M,44,6.0
0,30.0,Used,M,44,12.48
0,704.94,Used,M,44,6.0
0,21.74,Used,M,44,6.0
0,26.8,Used,M,44,16.47
0,43.89,Used,M,44,70.67
0,1.4,Used,M,44,6.0
0,15.99,Used,M,44,6.0
0,153.8,Used,M,44,6.0
0,14.16,Used,M,44,6.0
0,5.7,Used,M,44,6.0
0,153.56,Used,M,44,6.0
0,119.0,Used,M,44,6.0
0,119.0,Used,M,44,6.0
0,119.0,Used,M,44,6.0
0,15.99,Used,M,44,6.0
0,149.0,Used,M,44,6.0
0,33.98,Used,M,44,6.0
0,9.98,Unused,M,44,6.0
0,3.99,Unused,M,44,6.0
0,257.06,Unused,M,44,34.94
0,3.16,Unused,M,44,12.48
0,22.38,Unused,M,44,6.0
0,92.25,Unused,M,44,12.91
0,99.99,Unused,M,44,6.0
0,18.72,Unused,M,44,6.0
0,15.39,Unused,M,44,6.0
0,44.79,Unused,M,44,6.0
0,2.39,Unused,M,44,6.0
0,528.69,Unused,M,44,6.0
0,145.44,Unused,M,44,16.47
0,54.78,Unused,M,44,6.0
0,32.49,Unused,M,44,6.0
0,19.51,Unused,M,44,6.0
0,77.96,Unused,M,44,6.0
0,61.49,Unused,M,44,70.67
0,4.8,Unused,M,44,6.0
0,13.59,Unused,M,44,6.0
0,119.0,Unused,M,44,6.0
0,119.0,Unused,M,44,6.0
0,238.0,Unused,M,44,6.0
0,149.0,Unused,M,44,6.0
0,48.0,Unused,M,44,6.0
0,237.0,Unused,M,44,6.0
0,237.0,Unused,M,44,6.0
0,149.0,Unused,M,44,6.0
0,22.98,Unused,M,44,6.0
0,1.68,Unused,M,44,6.0
0,33.59,Unused,M,44,12.91
0,59.95,Unused,M,44,34.94
0,119.9,Unused,M,44,12.48
0,8.0,Unused,M,44,6.0
0,19.47,Unused,M,44,6.0
0,159.92,Unused,M,44,16.47
0,4.56,Unused,M,44,6.0
0,79.0,Unused,M,44,6.0
0,9.99,Unused,M,44,6.0
0,13.59,Unused,M,44,6.0
0,16.5,Unused,M,44,6.0
1,376.39,Used,F,25,16.47
0,99.0,Used,F,25,6.0
0,12.6,Used,F,25,6.0
0,15.99,Used,F,25,6.0
0,279.0,Used,F,25,6.0
0,279.0,Used,F,25,6.0
0,2.99,Used,F,25,6.0
0,119.0,Used,F,25,6.0
0,119.0,Used,F,25,6.0
0,357.0,Used,F,25,6.0
0,79.0,Used,F,25,6.0
0,79.0,Used,F,25,6.0
0,298.0,Used,F,25,6.0
0,149.0,Used,F,25,6.0
0,9.99,Unused,F,25,6.0
0,99.0,Unused,F,25,6.0
0,119.5,Unused,F,25,12.48
0,71.7,Unused,F,25,16.47
0,279.0,Unused,F,25,6.0
0,149.5,Unused,F,25,6.0
0,238.0,Unused,F,25,6.0
0,119.0,Unused,F,25,6.0
0,119.0,Unused,F,25,6.0
0,119.0,Unused,F,25,6.0
0,349.0,Unused,F,25,6.0
0,349.0,Unused,F,25,6.0
0,149.0,Unused,F,25,6.0
0,149.0,Unused,F,25,6.0
0,79.0,Unused,F,25,6.0
0,54.36,Unused,F,25,6.0
0,149.0,Unused,F,25,6.0
0,64.78,Unused,F,25,22.71
0,5.49,Unused,F,25,6.0
0,199.0,Unused,F,25,6.0
0,13.59,Unused,F,25,6.5
0,149.0,Unused,F,25,6.0
0,149.0,Unused,F,25,6.0
1,117.0,Used,F,2,6.0
0,149.0,Used,F,2,6.0
0,99.0,Unused,F,2,6.0
0,115.5,Unused,F,2,6.0
0,29.9,Unused,F,2,6.0
1,349.0,Used,F,46,6.0
0,15.19,Unused,F,46,6.0
0,558.0,Unused,F,46,6.0
0,119.0,Unused,F,46,6.0
1,10.38,Used,F,13,6.5
0,3.5,Used,F,13,6.0
0,34.4,Used,F,13,6.0
0,44.79,Used,F,13,6.0
0,53.0,Used,F,13,6.0
0,119.0,Used,F,13,6.0
0,149.0,Used,F,13,6.0
0,41.99,Unused,F,13,6.0
0,67.18,Unused,F,13,6.0
0,41.99,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,67.18,Unused,F,13,6.0
0,34.4,Unused,F,13,6.0
0,97.35,Unused,F,13,12.91
0,36.97,Unused,F,13,6.0
0,87.95,Unused,F,13,18.12
0,91.14,Unused,F,13,6.0
0,39.19,Unused,F,13,6.0
0,149.0,Unused,F,13,6.0
0,158.0,Unused,F,13,6.0
0,79.19,Unused,F,13,6.0
0,298.0,Unused,F,13,6.0
0,298.0,Unused,F,13,6.0
0,35.67,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,33.59,Unused,F,13,6.0
0,46.38,Unused,F,13,6.5
0,15.39,Unused,F,13,6.0
0,37.58,Unused,F,13,6.0
1,33.58,Used,F,34,6.5
0,17.98,Used,F,34,6.5
0,219.15,Used,F,34,6.5
0,299.85,Used,F,34,35.96
0,119.0,Used,F,34,6.5
0,119.0,Used,F,34,6.5
0,119.0,Used,F,34,6.5
0,119.0,Used,F,34,6.5
0,119.0,Used,F,34,6.5
0,238.0,Used,F,34,6.5
0,417.0,Used,F,34,6.5
0,119.0,Used,F,34,35.3
0,251.82,Used,F,34,84.7
0,79.0,Used,F,34,6.5
0,158.0,Used,F,34,6.5
0,15.19,Used,F,34,6.5
0,16.99,Used,F,34,6.5
0,298.0,Used,F,34,6.5
0,149.0,Used,F,34,6.5
0,1.5,Unused,F,34,6.5
0,12.99,Unused,F,34,6.5
0,52.5,Unused,F,34,84.7
0,559.8,Unused,F,34,62.74
0,119.0,Unused,F,34,6.5
0,119.0,Unused,F,34,6.5
0,633.0,Unused,F,34,6.5
0,119.0,Unused,F,34,6.5
0,27.18,Unused,F,34,6.5
0,303.0,Unused,F,34,8.7
0,395.0,Unused,F,34,6.5
